from_id,to_id
0-0,0-1
0-101,0-498
0-102,0-503
0-103,0-509
0-104,0-516
0-105,0-523
0-106,0-529
0-107,0-537
0-109,0-540
0-11,0-57
0-110,0-549
0-112,0-553
0-113,0-560
0-114,0-563
0-115,0-571
0-116,0-579
0-117,0-582
0-119,0-591
0-12,0-65
0-120,0-597
0-121,0-600
0-123,0-604
0-124,0-612
0-125,0-616
0-126,0-623
0-127,0-631
0-128,0-635
0-129,0-644
0-130,0-649
0-132,0-657
0-133,0-658
0-135,0-662
0-136,0-670
0-137,0-677
0-139,0-686
0-14,0-74
0-140,0-694
0-141,0-703
0-142,0-706
0-143,0-707
0-144,0-713
0-146,0-720
0-147,0-724
0-148,0-733
0-149,0-740
0-15,0-82
0-150,0-748
0-151,0-753
0-152,0-760
0-154,0-761
0-155,0-769
0-156,0-775
0-157,0-778
0-159,0-783
0-16,0-86
0-160,0-789
0-161,0-796
0-163,0-802
0-164,0-810
0-166,0-818
0-167,0-825
0-168,0-829
0-170,0-838
0-171,0-845
0-172,0-850
0-173,0-854
0-175,0-860
0-176,0-865
0-177,0-868
0-178,0-873
0-179,0-880
0-18,0-93
0-181,0-884
0-182,0-891
0-183,0-896
0-185,0-899
0-186,0-908
0-187,0-913
0-188,0-918
0-189,0-924
0-19,0-100
0-190,0-925
0-192,0-934
0-193,0-940
0-195,0-948
0-196,0-951
0-197,0-955
0-198,0-963
0-199,0-972
0-2,0-10
0-20,0-108
0-200,0-980
0-201,0-981
0-202,0-989
0-204,0-994
0-205,0-998
0-206,0-1005
0-207,0-1014
0-208,0-1022
0-209,0-1031
0-21,0-111
0-211,0-1039
0-212,0-1045
0-213,0-1050
0-214,0-1054
0-215,0-1057
0-216,0-1060
0-218,0-1064
0-219,0-1073
0-22,0-118
0-220,0-1079
0-222,0-1088
0-223,0-1091
0-224,0-1098
0-225,0-1105
0-226,0-1112
0-227,0-1113
0-229,0-1122
0-23,0-122
0-230,0-1127
0-231,0-1134
0-232,0-1142
0-233,0-1147
0-235,0-1155
0-236,0-1158
0-237,0-1159
0-238,0-1167
0-240,0-1170
0-241,0-1179
0-242,0-1185
0-244,0-1192
0-245,0-1200
0-246,0-1205
0-247,0-1209
0-248,0-1215
0-25,0-131
0-250,0-1224
0-251,0-1229
0-253,0-1232
0-254,0-1239
0-255,0-1246
0-256,0-1252
0-257,0-1255
0-258,0-1259
0-259,0-1265
0-26,0-134
0-261,0-1269
0-262,0-1277
0-263,0-1284
0-264,0-1290
0-265,0-1298
0-267,0-1307
0-268,0-1313
0-269,0-1319
0-27,0-138
0-270,0-1326
0-271,0-1331
0-273,0-1340
0-274,0-1348
0-275,0-1355
0-276,0-1364
0-277,0-1371
0-278,0-1378
0-279,0-1382
0-28,0-145
0-281,0-1383
0-282,0-1386
0-283,0-1392
0-284,0-1397
0-285,0-1401
0-286,0-1405
0-287,0-1412
0-29,0-153
0-3,0-13
0-30,0-158
0-31,0-162
0-32,0-165
0-34,0-169
0-35,0-174
0-36,0-180
0-37,0-184
0-39,0-191
0-4,0-17
0-40,0-194
0-41,0-203
0-43,0-210
0-44,0-217
0-45,0-221
0-46,0-228
0-47,0-234
0-48,0-239
0-49,0-243
0-5,0-24
0-51,0-249
0-52,0-252
0-53,0-260
0-54,0-266
0-55,0-272
0-56,0-280
0-58,0-288
0-59,0-294
0-6,0-33
0-60,0-298
0-61,0-301
0-62,0-304
0-63,0-312
0-64,0-317
0-66,0-325
0-67,0-331
0-68,0-337
0-69,0-346
0-7,0-38
0-70,0-353
0-71,0-360
0-72,0-367
0-73,0-371
0-75,0-374
0-76,0-377
0-77,0-382
0-78,0-387
0-79,0-396
0-8,0-42
0-80,0-399
0-81,0-405
0-83,0-410
0-84,0-418
0-85,0-425
0-87,0-428
0-88,0-432
0-89,0-438
0-9,0-50
0-90,0-443
0-91,0-448
0-92,0-454
0-94,0-462
0-95,0-469
0-96,0-475
0-97,0-479
0-98,0-485
0-99,0-489
